Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
76,Round of 32,2026-06-29,Houston,Brazil,Japan,,2 - 1
77,Round of 32,2026-06-30,New York/New Jersey (East Rutherford),France,Sweden,,3 - 0
78,Round of 32,2026-06-30,Dallas (Arlington),Ivory Coast,Norway,,1 - 2
79,Round of 32,2026-06-30,Mexico City,Mexico,Ecuador,,2 - 0
80,Round of 32,2026-07-01,Atlanta,England,DR Congo,,2 - 1
81,Round of 32,2026-07-01,San Francisco Bay Area (Santa Clara),USA,Bosnia & Herzegovina,,2 - 0
82,Round of 32,2026-07-01,Seattle,Belgium,Senegal,,2 - 2
83,Round of 32,2026-07-02,Toronto,Portugal,Croatia,,2 - 1
84,Round of 32,2026-07-02,Los Angeles (Inglewood),Spain,Austria,,3 - 0
85,Round of 32,2026-07-02,Vancouver,Switzerland,Algeria,,2 - 0
86,Round of 32,2026-07-03,Miami (Miami Gardens),Argentina,Cape Verde,,
87,Round of 32,2026-07-03,Kansas City,Colombia,Ghana,,
88,Round of 32,2026-07-03,Dallas (Arlington),Australia,Egypt,,
89,Round of 16,2026-07-04,Philadelphia,Paraguay,France,,
90,Round of 16,2026-07-04,Houston,Canada,Morocco,,
91,Round of 16,2026-07-05,New York/New Jersey (East Rutherford),Brazil,Norway,,
92,Round of 16,2026-07-05,Mexico City,Mexico,England,,
93,Round of 16,2026-07-06,Dallas (Arlington),Portugal,Spain,,
94,Round of 16,2026-07-06,Seattle,USA,Belgium,,
95,Round of 16,2026-07-07,Atlanta,W86,W88,,
96,Round of 16,2026-07-07,Vancouver,Switzerland,W87,,
97,Quarter-final,2026-07-09,Boston (Foxborough),W89,W90,,
98,Quarter-final,2026-07-10,Los Angeles (Inglewood),W93,W94,,
99,Quarter-final,2026-07-11,Miami (Miami Gardens),W91,W92,,
100,Quarter-final,2026-07-11,Kansas City,W95,W96,,
101,Semi-final,2026-07-14,Dallas (Arlington),W97,W98,,
102,Semi-final,2026-07-15,Atlanta,W99,W100,,
103,Match for third place,2026-07-18,Miami (Miami Gardens),L101,L102,,
104,Final,2026-07-19,New York/New Jersey (East Rutherford),W101,W102,,
